Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Odd or Even-Numbered Answers in Textbooks,26/11/2017,1,t,,,,,,,,,,,,,,,,,,,,,
Simple initial value problems - pros and cons of different methods,27/11/2017,2,t,,,,1,,,,,1,,,,,,,,,,,,
Is the Nomenclature of Triangle Congruency Proofs Consistent?,30/11/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
Deriving Jerk Equations without using Calculus,01/12/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
Teaching the proper syntax of “such that”,03/12/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
Are students being adversely affected by cranks or trolls in online math forums?,04/12/2017,1,t,,,,,,,,,,,,,,,,1,,,,,
Why do we teach estimation in Statistics and Mathematics?,04/12/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
Should I tell my students that math is hard for me?,05/12/2017,8,t,,,,,,,,,,,1,,,,,,,,,,
what are some surprising result of math for a kid?,06/12/2017,3,t,,,,,,,,,,,,,,,,,,,1,1,
Phone app or webpage to link HS students to free math tutor?,07/12/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
Is Lax's Linear Algebra and its Applications comprehensive or idiosyncratic?,08/12/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
What to teach in a class of 45 minutes about the mean value theorem,09/12/2017,3,t,,,,,,,,,,,,,,,,,,,1,,
Might it be helpful for students to have different symbols for subtraction (-) and negation ( _ )?,11/12/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
App to show exercises solved by students in real time,11/12/2017,0,t,,,,,,,,,,,,,,,,,,1,,,
Resource to supplement to Euclid's Elements,13/12/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Real-world Markov chains,13/12/2017,4,t,,,,1,,,,,,,,,,,,,,,,,
Cognitive demands of a mathematical task,20/12/2017,2,t,,,,,,1,,,,,,,,,,,,,,,
Teaching undergraduates who expect a high-school-like learning environment,22/12/2017,4,t,,,,1,,,,,,,,,,,,,,,,,
How to teach students the value of concrete counterexamples?,24/12/2017,3,t,,,,1,,,,,1,,,,,,,,,,,,
books to teach K-12 math/science via real-world approach?,25/12/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
How to teach a student algebra who misses too much previous knowledge?,26/12/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,
What can I teach a talented student who is enthusiastic about math?,27/12/2017,2,t,,1,,,,,,,,,,,,,,,,,1,,
Grading a limit problem,27/12/2017,16,t,,,,,,1,,,,,,,,,,,,,,,
Making solutions to all problems freely available,30/12/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
What are the minimum criteria when checking homework for completion only?,02/01/2018,3,t,,,,,,1,,,,,,,,,,,,,,,
real world Situation involving the application of addition or subtraction of algebraic fraction,07/01/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
How should a student's inefficient calculation be pointed out?,08/01/2018,11,t,,,,1,,,,,,,,,,,,,,,,,
teach that 1010 not defined properly,13/01/2018,6,t,,,,1,,,,,,,,,,,,,,,,,
Can some lovers of math truly never create something previously unseen?,14/01/2018,2,t,,1,,,,,,,,,,,,,,,,,,,
How to convince the following probability problem to highschool student?,15/01/2018,3,t,,,,1,,,,1,,,,,,,,,,,,,
How to teach real analysis?,16/01/2018,2,t,,,,1,,,,,,,,,,,,,,,1,,
Framework for Compound Inequalities,23/01/2018,3,t,,,,,,,,,,,,,,,,,,,,,1
Math topics that reward going beyond cookbook methods,23/01/2018,8,t,,,,,,,,,,,,,,,,,,,,,
How to write proofs on the board in the classroom,24/01/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
High School Math Course focused on Sports,24/01/2018,3,t,,,,,,,,,,,,,,,,,,1,1,,
Tips for choosing coordinates of three points such that the coordinates of the orthocenter are integers,24/01/2018,3,t,1,,,1,,,,,,,,,,,,,,,,,
Teacher resources on abacus for elementary school children,27/01/2018,0,t,,,,,,,,,,,,,,,,,,1,,,
The Way We Teach Square Roots,28/01/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
Integration by substitution not using letter u,29/01/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
Ordered checklist for learning Mathematics for Data Science,29/01/2018,1,t,,,,,,,,,,,,,,,,,,,1,,
Polymorphic functions in vector calculus,31/01/2018,3,t,,,,,,,,,,,,,,,,,,,,,1
Should Measurement of Angles Using Degree (and perhaps Common Logarithm as well) be Avoided in Pre-Calculus?,07/02/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
"How to write variables on the board, which are supposed to be italicised?",08/02/2018,5,t,,,,1,,,,,,,,,,,,,,,,,1
Why do no students know to change the limits of integration when doing substitutions?,09/02/2018,8,t,,,,1,,,,1,,,,,,,,,,,,,
Books and worksheets on symmetry,11/02/2018,5,t,,,,,,,,,,,,,,,,,,1,,,
What software tools allow an educator to display slides but also draw on the slides like MS Paint?,11/02/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
How to teach calculus effectively to non-math (and noisy) students?,12/02/2018,1,t,,,,1,,,,1,,,,,,,,,,,,,
How much prior math should I review in teaching a graduate-level course?,12/02/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
Inability to work with an arbitrary mathematical object,13/02/2018,5,t,,,,1,,,,1,1,,,,,,,,,,,,
Exponents with Negative Base; with or without Parentheses,16/02/2018,5,t,,,,1,,,,,,,,,,,,,,,,,1
Pedagogical advice/articles for graduate student teaching assistants,19/02/2018,4,t,,,,1,,,,,,,,,,,,,,1,,,
Which book to use concurrently with each of these mathematics texts?,19/02/2018,0,t,,,,,,,,,,,,,,,,,,1,,,
Should college mathematics always be taught in such a way that real world applications are always included?,20/02/2018,12,t,,,,1,,,,,,,,,,,,,,,,,
Interesting but very easy epsilon-delta problems?,22/02/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
To which degree should exams test intelligence vs mastery of the material,22/02/2018,2,t,,,,,,1,,,,,,,,,,,,,,,
"""Real world"" examples of implicit functions",23/02/2018,8,t,,,,1,,,,,,,,,,,,,,,,,
How to Write Steps of Solving Equations?,26/02/2018,10,t,,,,,,,,,,,,,,,,1,,,,,1
How to show (x−a)(x−a) is a factor of a polynomial p(x)p(x) if and only if p(a)=0p(a)=0 (without division),26/02/2018,7,t,,,,1,,,,,,,,,,,,,,,,,
Resources for precalculus applications,26/02/2018,3,t,,,,,,,,,,,,,,,,,,1,,,
What is a recommend way to describe a negative number with large absolute value?,27/02/2018,5,t,,,,,,,,,,,,,,,,,,,,,1
Why is polynomial factorization over the integers part of secondary school curricula?,27/02/2018,4,t,,,,,,,,,,,,,,,,,,,1,,
How to teach Leibniz and Newton's notation,01/03/2018,3,t,,,,1,,,,,,,,,,,,,,,,,1
Resources on solving systems of polynomial equations in multivariable calculus setting,01/03/2018,3,t,,,,,,,,1,,,,,,,,,,1,,,
"In what curricula are ""rectangles"" defined so as to exclude squares?",02/03/2018,3,t,,,,,,,,,,,,,,,,,,,1,,1
"What's a replacement for ""married couples"" in combinatorics problems?",02/03/2018,17,t,,,,,,,,,,,,,,,,,,1,,,
Shifting function graphs: writing vertical offset on the y-side?,03/03/2018,4,t,,,,1,,,,1,,,,,,,,,,,,,
An application of the Cauchy criterion for undergraduates?,04/03/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
Helping students who make no effort to figure things out for themselves,04/03/2018,8,t,,,,1,,,,,,,1,,,,,,,,,,
How to correct a wrong mental picture of the limit?,05/03/2018,7,t,,,,1,,,,1,,,,,,,,,,,,,
Neat topics or problems to include in a probability class real world,06/03/2018,6,t,,,,,,,,,,,,,,,,,,1,,,
How would you introduce Frullani integral to students?,09/03/2018,4,t,,,,1,,,,,,,,,,,,,,,,,
Introducing an axiomatic method to high-school students,13/03/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
Motivation for uniform continuity,15/03/2018,1,t,,,,,,,,,,,,,,,,,,1,,1,
What are the best places online where math educators can discuss their experience?,16/03/2018,4,t,,,,,,,,,,,,,,,,,,,,,
Resources for Teaching Logic to Primary School Children?,16/03/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
How to explain the concepts of limits and continuity to non-mathematical students,16/03/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
Algebra best practices for students,17/03/2018,4,t,,,,1,,,,,,,,,,,,,,,,,1
Project Based Learning or Applied Math involving modular arithmetics?,19/03/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
A student is cheating and I don't know how,19/03/2018,3,t,,,,,,1,,,,,,,,,,,,,,,
Why define the names of quadrilaterals so that some categories (rhombus and rectangle) intersect and some (kite and trapezoid) are disjoint?,19/03/2018,0,t,,,,,,,,,,,,,,,,,,,,,1
Computational Software for the whole curriculum and beyond,20/03/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
Are kindergartners supposed to be steered from squares being rectangles?,20/03/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
Would it be a good idea to provide students with Khan Academy links?,21/03/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
"Make a matrix algebra course (1st university year) more ""project-based""",22/03/2018,4,t,,,,1,,,,,,,,,,,,,,,1,,
What is the ideal teaching style for Calculus exercises only?,23/03/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
Effective computer lab layouts for a university math class,23/03/2018,1,t,,,,,,,,,,,,,,,,,,,,,
How to solve ax=bax=b?,23/03/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
implication vs equivalence when solving equations,25/03/2018,2,t,,,,,,,,,,,,,,,,,,,,,1
Multidisciplinary problem,26/03/2018,6,t,,,,,,,,,,,,,,,,,,1,,,
How to Teach Middle School Students to Read Square Roots?,28/03/2018,2,t,,,,,,,,,,,,,,,,,,,,,1
Using tensegrity structure to teach high school math?,01/04/2018,1,t,,,,,,,,,,,,,,,,,,,1,,
Teaching Calculus Less Formally,03/04/2018,3,t,,,,,,,,,,,,,,,,,,1,,,
when should we teach basic complex algebra?,04/04/2018,3,t,,,,,,,,,,,,,,,,,,,1,,
Comparison Tests in Calculus,04/04/2018,8,t,,,,1,,,,,,,,,,,,,,,,,
Is there a way to report errors in K-12 textbooks?,04/04/2018,1,t,,,,,,,,,,,,,,,,,,,,,
"Why aren't integral equations often taught ""back to back"" with differential equations?",07/04/2018,1,t,,,,,,,,,,,,,,,,,,,1,,
What is the correct symbol to use for ending a counterexample?,10/04/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
Why most people think that :(fg)′=f′⋅g′(fg)′=f′⋅g′?,14/04/2018,2,t,,,,,,,,,,,,,,,,,,,,,1
Teaching congruent triangles non-rigorously,16/04/2018,4,t,,,,1,,,,,,,,,,,,,,,,,
Tricks to draw a typical triangle?,17/04/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
"English book for math for (electrical) engineering similar to German ""Higher Mathematics""",17/04/2018,3,t,,,,,,,,,,,,,,,,,,1,,,
Drawing vs Constructing,19/04/2018,2,t,,,,,,,,,,,,,,,,,,,,,1
Interesting settings for exponential growth or decay real world,19/04/2018,5,t,,,,1,,,,,,,,,,,,,,,,,
Questions similar to Wason Selection Task,20/04/2018,0,t,,,,,,,,,,,,,,,,,,1,,,
Mnemonics for some properties in mathematics,27/04/2018,13,t,,,,1,,,,,,,,,,,,,,,,,
Effective Assessment that's Easy to Grade,27/04/2018,2,t,,,,,,1,,,,,,,,,,,,,,,
"Subtraction using Addition (Austrian Method), is it useful to learn this method instead of the usual ""borrow"" method?",30/04/2018,3,t,,,,1,,,,,,,,,,,,,,,,,1
How to build addition with sets?,02/05/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
Project with transformation geometry,02/05/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
"How can I help a student who has a ""wrong"" kind of enthusiasm?",03/05/2018,5,t,,1,,1,,,,,,,,,,,,,,,,,
Ten options for multiple choices questions,05/05/2018,7,t,,,,,,1,,,,,,,,,,,,,,,
What are some very concrete examples of statistical models to present to students?,07/05/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
"Experiences with Venn diagrams as didactic tool for factors, GCD, LCM?",08/05/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
How to explain NP-hardness and NP-completeness to students,14/05/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
"How students write their work, and learning outcomes",14/05/2018,5,t,,,,,,,,,,,,,,,,,,,,,1
Textbooks explicitly showing the injections for the sum of sets,14/05/2018,1,t,,,,,,,,,,,,,,,,,,1,,,
What to do if all students lack prerequisites?,17/05/2018,2,t,,1,,1,,,,1,,,,,,,,,,,,,
Recommend a vector calculus textbook/resource with an algebraic geometry flavor,17/05/2018,4,t,,,,,,,,,,,,,,,,,,1,,,
Should Euler's method be taught in calculus 1 courses?,18/05/2018,3,t,,,,,,,,,,,,,,,,,,,1,,
Why don't textbooks foreground marginally generalized theorems?,18/05/2018,3,t,,,,,,,,,,,,,,,,,,,,,
Calculus via a constructivist approach,19/05/2018,1,t,,,,1,,,,,,,,,,,,,,1,,,
Timing of when Cayley-Hamilton theorem is taught in Linear Algebra,19/05/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
Reference request: undergraduate combinatorial topology,23/05/2018,1,t,,,,,,,,,,,,,,,,,,,1,,
How to introduce trigonometric ratios (HS) through a cognitive model?,24/05/2018,0,t,,,,1,,,,,,,,,,,,,,,,,
Ought color be used more in math?,25/05/2018,3,t,,,,,,,,,,,,,,,,,,,,,
"Analogies or explanations for duality, at the college sophomore level",26/05/2018,1,t,,,,1,,,,1,,,,,,,,,,,,,
How to teach ordinary differential equations to good students?,27/05/2018,1,t,,,,1,,,,,,,1,,,,,,,,,,
How to resolve the new definition of subtraction and division seen in college algebra?,28/05/2018,5,t,,,,,,,,,,,,,,,,,,,,,1
"Intuition: 5 regular polyhedra, 6 regular 4-polytopes, and then 3 regular d-polytopes",28/05/2018,0,t,,,,1,,,,,,,,,,,,,,,,,
Can or should students do research in standard major math courses,31/05/2018,3,t,,,,1,,,,,,,,,,,,,,,1,,
What tools are available for creating visual aids?,03/06/2018,3,t,,,,,,,,,,,,,,,,,,1,,,
How to explain multiplying and dividing by fractions with real-world examples,03/06/2018,6,t,,,,,,,,,,,,,,,,,,1,,,
Can y(n)y(n) be used as a way of representing higher order derivatives?,04/06/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
Middle / High School Math Teachers and LaTeX,05/06/2018,3,t,,,,,,,,,,,,,,,,1,,1,,,
Ideas for high-school proof class?,07/06/2018,2,t,,,,,,,,1,,,,,,,,,,1,,,
What is the point of teaching variance?,07/06/2018,8,t,1,,,,,,,,,,,,,,,,,,1,,
"What is a good hex board size for kids to learn on, playing short games?",08/06/2018,1,t,,,,,,,,,,,,,,,,,,,,1,
Justifying the multi-variable chain rule to students,10/06/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
Adding irrelevant humorous questions to a quiz exam,10/06/2018,11,t,,,,,,1,,,,,,,,,,,,,,1,
Method of Showing Algebraic Work,13/06/2018,4,t,,,,1,,,,,,,,,,,,,,,,,1
"""Basic ideas"" as a concept in teaching maths?",14/06/2018,1,t,,,,,,,,,,,,,,,,,,,,,
Exposure to Algebra 2/Calculus Under Time Constraints,14/06/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
Teaching science and engineering students the field of inverse problems,17/06/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
How to deal with poor students who don't take notes?,18/06/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
Should students teach other students?,18/06/2018,1,t,,,,1,,,,,,,,,,,,,,1,,,
Targeted group game for 8 or 9 players,19/06/2018,3,t,,,,,,,,,,,,,,,,,,1,,1,
"How to get past the ""mystique"" of Maths",21/06/2018,13,t,,1,,1,,,,1,,,,,,,,,,,,,
How was this maths educational video made?,24/06/2018,0,t,,,,,,,,,,,,,,,,,,1,,,
Easy tool to draw stencils,25/06/2018,3,t,,,,,,,,,,,,,,,,,,1,,,
Quizzes (with questions known in advance) instead of homework in a graduate mathematics class. Good Idea or Bad Idea? Pros and Cons?,27/06/2018,3,t,,,,,,1,,,,,,,,,,,,,,,
Why bother completing the square to find the minimum/maximum of a quadratic function?,27/06/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
"One course/subject, one class, two lecturers",28/06/2018,1,t,,,,,,,,,,,,,,,,,,,,,
Simple Number Theory Task,28/06/2018,6,t,,,,,,,,,,,,,,,,,,1,,,
Supplemental text for undergraduate real analysis,28/06/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
"Simple, elegant ways to teach the idea of what functions are for the first time",30/06/2018,6,t,,,,1,,,,,,,,,,,,,,,,,
Urn (containing colored balls) generator?,02/07/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
"Teaching logic through ""high school algebra""?",04/07/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
Small 'new things' to confront talented high-schoolers with,05/07/2018,4,t,,,,1,,,,1,,,,,,,,,,,,,
"Why don’t all professors let students use notes, books, etc. on exams?",06/07/2018,7,t,,,,,,1,,,,,,,,,,,,,,,
"Should I describe the function x↦f(x0)+f′(x0)(x−x0)x↦f(x0)+f′(x0)(x−x0) as ""linear"" in a freshman calculus class?",09/07/2018,4,t,,,,1,,,,,,,,,,,,,,,,,
Good real-life examples of transformations of function graphs,13/07/2018,2,t,,,,1,,,,,,,,,,,,,,,,,
Learning math historically,16/07/2018,0,t,,,,1,,,,,,,,,,,,,,,,,
Polar form before Cartesian form when introducing complex numbers,17/07/2018,1,t,,,,1,,,,,,,,,,,,,,,1,,
How to present the order of factors and summands for the usual multiplication procedure,18/07/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
"What is the best term for ""probability measure"" in an undergrad introduction to probability course?",19/07/2018,0,t,,,,,,,,,,,,,,,,,,,,,1
Should homework be graded in an undergraduate math course?,19/07/2018,4,t,,,,,,1,,,,,,,,,,,,,,,
Encouraging students to learn probability,20/07/2018,1,t,,,,1,,,,1,,,,,,,,,,,,,
Online quiz with slightly different questions for each student,25/07/2018,2,t,,,,,,1,,,,,,,,,,,,1,,,
What is an intercept?,25/07/2018,8,t,,,,,,,,,,,,,,,,,,,,,1
Is There Such Thing as Learning Disability in Math?,26/07/2018,2,t,,1,,,,,,,,,,,,,,,,,,,
Should students be given partial scores when they gave an incomplete proof by contradiction?,31/07/2018,2,t,,,,,,1,,,,,,,,,,,,,,,
What are standard (or good) textbooks for undergraduate graph theory?,01/08/2018,4,t,,,,,,,,,,,,,,,,,,1,,,
Why emphasize moment generating function over characteristic function in a probability course?,02/08/2018,1,t,,,,,,,,,,,,,,,,,,,,,1
Evaluation and feedback using Optical Mark Recognition systems in secondary school,06/08/2018,1,t,,,,,,1,,,,,,,,,,,,,,,
"Books similar to ""Teaching Developmentally"", but for high school math",07/08/2018,1,t,,,,,,,,,,,,,,,,,,1,,,
Downloadable MCQs on Mathematics,08/08/2018,1,t,,,,,,1,,,,,,,,,,,,1,,,
CoTeaching Elementary Linear Algebra,13/08/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
Has Benezet's teaching experiment ever been reproduced?,14/08/2018,1,t,,,,,,,,,,,,,,,,,,,,,
What is the best way to assign letter grades in a math class?,16/08/2018,3,t,,,,,,1,,,,,,,,,,,,,,,
How To Help a Quiet Class,16/08/2018,4,t,,,,1,,,,,,,,,,,,,,,,,
"What is the preferred method of teaching ""linear"" differential equations today?",22/08/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
"How can I make ""complex"" graphs that combine multiple functions with a software?",23/08/2018,1,t,,,,,,,,,,,,,,,,,,1,,,
Recommend a website for creating geometric figures,23/08/2018,1,t,,,,,,,,,,,,,,,,,,1,,,
Using an iPad to write on pdf slides,23/08/2018,1,t,,,,,,,,,,,,,,,,,,1,,,
Should I go over examples straight from the textbook in Calculus lectures?,25/08/2018,4,t,,,,1,,,,,,,,,,,,,,,,,
What are teachers' expectations on private tutoring in secondary education?,26/08/2018,0,t,,,,1,,,,,,,,,,,,,,,,,
How to create educational linear algebra animations?,27/08/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
Pythagorean triples real examples,28/08/2018,1,t,,,,1,,,,,,,,,,,,,,,,,
Would it be constructive to teach a whole course on how to evaluate certain hard integrals?,29/08/2018,2,t,,,,,,,,,,,,,,,,,,,1,,
Good (natural) motivational examples for quadratic equations,30/08/2018,3,t,,,,1,,,,,,,,,,,,,,1,,,
Automatically creating homework worksheets from textbook problems,31/08/2018,4,t,,,,,,1,,,,,,,,,,,,,,,
Motivation for polynomial long division,01/09/2018,5,t,,,,,,,,,,,,,,,,,,,1,,
Undergraduate Math Seminar topic,02/09/2018,6,t,,,,,,,,,,,,,,,,,,,1,,
Teaching math long distance,04/09/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
Harnessing misuse of equals sign,06/09/2018,3,t,,,,,,,,,,,,,,,,,,,,,1
Geometry sample tests,11/09/2018,0,t,,,,,,1,,,,,,,,,,,,1,,,
'Low-algebra' examples of induction,13/09/2018,6,t,,,,,,,,,,,,,,,,,,1,,,
a theorem to simplify continuity in Stewart's calculus: early transcendentals,13/09/2018,0,t,,,,,,,,,,,,,,,,,,,1,,
What is it called when terms disappear when reducing fractions?,14/09/2018,4,t,,,,,,,,,,,,,,,,,,,,,1
Automated drilling sites with some specific problems,14/09/2018,2,t,,,,,,,,,,,,,,,,,,1,,,
Examples (for beginners) of real functions which are not given by elementary formulae,15/09/2018,3,t,,,,1,,,,,,,,,,,,,,,,,
